gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
CRADD-AS1,2.6721511973056873,0.01194707,0.01194707,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
HAR1A,0.8337383382849926,0.01197796,0.01197796,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LBX2,-0.5854309852332067,0.012000193,0.012000193,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR486-1,0.8628372666405915,0.012190663,0.012190663,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR486-2,0.8627084781980697,0.012209047,0.012209047,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CALCB,1.8024699905157389,0.01222858,0.01222858,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986299,0.5825692217973456,0.012228712,0.012228712,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HOXC8,-2.134448136572323,0.012233841,0.012233841,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ORC6,-0.33865481638144307,0.012315258,0.012315258,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
YTHDF3-DT,-0.4142771204869626,0.012375572,0.012375572,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNRF2P1,-0.4587662274874733,0.01243797,0.01243797,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CHRNA9,0.723454510684697,0.012485566,0.012485566,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
GPR83,1.5787010629348015,0.012534472,0.012534472,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CMPK2,0.8394372615216488,0.01258517,0.01258517,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
IL18R1,0.9801004427626694,0.012624821,0.012624821,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105377492,2.0616404558859864,0.012710943,0.012710943,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDH7,1.5227864895341676,0.012742939,0.012742939,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ASPG,1.1866799845345783,0.012790165,0.012790165,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107987016,1.386197816460188,0.012840678,0.012840678,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105370518,0.7480823246625765,0.012844044,0.012844044,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373015,3.331238788646597,0.013031897,0.013031897,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375542,1.3731030115163496,0.013063385,0.013063385,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TMT1B,-0.8374218333357646,0.013199923,0.013199923,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373954,2.684306186204771,0.013267038,0.013267038,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ANKH,0.5940225512036691,0.013319077,0.013319077,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
EIF4B,-0.18895386009751375,0.013328496,0.013328496,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZHX1,0.2793217194911817,0.013456572,0.013456572,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MTMR10,-0.2776918115025335,0.013684119,0.013684119,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FAM230E,1.1952157936046026,0.01386272,0.01386272,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
GRM2,0.8165906518288637,0.013877644,0.013877644,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01621,1.2852208339113032,0.013953287,0.013953287,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ARHGAP31,-0.6210164241086433,0.013989093,0.013989093,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
BTC,-1.0651117374794392,0.014003014,0.014003014,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105378144,-2.471151382288404,0.014019854,0.014019854,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CFAP20,0.2300404679481809,0.014032712,0.014032712,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107985306,1.9797867790786856,0.014265103,0.014265103,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ADAM7,1.6096857730757426,0.014513733,0.014513733,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SCARNA3,2.437371570249883,0.014535569,0.014535569,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
EEF1B2,-0.1257365133072919,0.014667724,0.014667724,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105379222,1.90291525814361,0.014724393,0.014724393,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
